Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D1,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,-31.880.000,22.160.000,0,top
D2,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,-22.780.000,9.060.000,0,top
D3,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,-24.680.000,-6.840.000,0,top
D4,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,-36.580.000,-17.440.000,0,top
D5,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,-52.580.000,-17.440.000,0,top
D6,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,-64.580.000,-6.840.000,0,top
D7,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,-66.380.000,9.060.000,0,top
D8,SK6812,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,-57.280.000,22.160.000,0,top
